customer_id,full_name,dob,occupation,kyc_monthly_income,account_open_date,last_txn_date_before_window,kyc_status,pep_flag,adverse_media_flag,current_address,current_city,current_state,nationality,mobile_number,num_linked_accounts,sar_flag
CUST-0,Sara Garrett,1988-03-17,unemployed,132679,2024-12-02,2023-08-06,3,0,0,"7049 Turner Mills
Warestad, ME 18066",Port Alexmouth,Rhode Island,IN,+91-9XXXXXX969,2,0
CUST-1,Jesse Sparks,1987-01-15,salaried,30631,2022-10-18,2023-08-12,2,1,1,"235 Robert Hills Apt. 673
Sanchezchester, PR 24286",Lake Heatherland,Illinois,IN,+91-9XXXXXX485,3,0
CUST-2,Stephen Lewis,1996-09-26,salaried,45386,2024-11-11,2026-01-25,1,0,1,"401 Sean Mews Suite 686
Joshuashire, WY 52869",Port Richardview,Virginia,IN,+91-9XXXXXX480,2,0
CUST-3,Jill Franklin,1968-02-09,student,192774,2022-02-03,2023-04-23,1,1,0,"USS Lane
FPO AE 16313",Christinefort,Nebraska,IN,+91-9XXXXXX509,2,0
CUST-4,Stephanie Marshall,1984-12-19,self_employed,111255,2024-12-01,2024-08-17,1,1,1,"6613 Marquez Light
Lake Mirandafort, VI 35792",Harrisview,Wyoming,IN,+91-9XXXXXX902,5,0
CUST-5,Tanner Woods,1980-05-27,business,163081,2021-06-07,2023-04-19,1,0,0,"60532 Myers Stravenue
Henryview, LA 34300",Benjaminville,Montana,IN,+91-9XXXXXX494,1,0
CUST-6,Victoria Young,2006-02-28,business,58504,2024-06-07,2024-07-27,0,0,1,"520 Kimberly Run Suite 447
Johnnyville, NJ 24823",South Felicia,Michigan,US,+91-9XXXXXX845,5,0
CUST-7,Susan Bond,1971-10-26,salaried,109388,2022-03-05,2026-03-05,1,1,1,"279 Wagner Isle Apt. 075
East Heather, PA 25078",Port Ashleyview,Virginia,AE,+91-9XXXXXX583,2,0
CUST-8,Shelly Bates,2006-12-24,salaried,193433,2023-01-07,2025-11-27,0,1,1,"22428 Barber Forest Apt. 504
Anthonymouth, FM 21782",North Tamarahaven,Maryland,GB,+91-9XXXXXX948,4,0
CUST-9,Paul Williams,1987-10-12,student,36846,2022-08-23,2026-01-27,3,0,0,"Unit 9565 Box 9974
DPO AE 03970",Lake Andrewburgh,New Jersey,IN,+91-9XXXXXX247,5,0
CUST-10,Nicole Johnston,1987-01-16,student,75229,2024-01-10,2023-11-02,3,0,0,"31989 Steven Forges Suite 354
East John, CT 63108",Jesseview,Arizona,IN,+91-9XXXXXX815,4,0
CUST-11,Brandy Pratt,1965-08-27,self_employed,125973,2021-07-27,2025-07-26,1,1,0,"145 William Fall
Ponceside, DE 29056",Derekport,Maryland,IN,+91-9XXXXXX740,3,0
CUST-12,Max Lynch,1959-11-05,salaried,179936,2024-08-29,2024-12-16,2,0,1,"7389 Fox Parks
West Jeffreystad, SD 30812",Erikahaven,North Dakota,IN,+91-9XXXXXX445,2,0
CUST-13,Eric Vang,1980-08-06,unemployed,63086,2022-06-15,2026-02-25,1,0,1,"611 Michael Viaduct Suite 505
East Frankhaven, IL 76769",New Todd,Illinois,IN,+91-9XXXXXX320,4,0
CUST-14,Gina Anderson,1971-03-16,salaried,62125,2021-08-01,2024-06-10,1,1,1,"76156 Bryan Mountain
North Donnaville, NV 23857",North Sydneyport,Massachusetts,US,+91-9XXXXXX202,5,0
