exception_id,customer_id,exception_type,exception_date,old_value,new_value,change_frequency_90d,verified_by_bank,days_before_first_suspicious_txn
EXC-0,CUST-28752,4,2026-03-26,"010 Emily Hills Apt. 516
Maciasmouth, ND 74005","4169 Devon Stravenue Suite 476
North Claytonstad, MS 04018",4,1,39
EXC-1,CUST-35865,3,2026-03-18,"81340 Teresa Islands
North Brookebury, MT 56669","357 Stewart Park Suite 800
Lake Lesliehaven, ME 20140",4,1,58
EXC-2,CUST-17815,1,2026-01-29,"1283 Evans Parkways
Williamsberg, DC 15535","Unit 2708 Box 5982
DPO AP 11156",2,0,17
EXC-3,CUST-34828,1,2026-01-21,"51725 Richard Center
Michaelhaven, AR 99828","61224 Nguyen Greens
West Virginia, NC 55229",1,1,4
EXC-4,CUST-32538,1,2026-03-14,"674 Ryan Squares
Port Max, MO 99844","7870 Robert Coves
East Carloston, UT 61142",1,1,26
EXC-5,CUST-37581,1,2026-03-25,"0045 Diane Parks Suite 483
Mcgrathton, AR 04851","86304 Chad Junction Suite 141
Brianmouth, AZ 66218",4,1,47
EXC-6,CUST-16302,1,2026-03-04,"9349 Chase Ports Suite 525
West Melanie, VA 11565","PSC 9558, Box 5697
APO AA 92297",2,0,36
EXC-7,CUST-1998,2,2026-01-19,"USS Simmons
FPO AP 48134","USCGC Tanner
FPO AA 11685",2,0,3
EXC-8,CUST-46153,0,2026-01-30,"PSC 9307, Box 6852
APO AA 29231","73691 Hudson Forge Suite 548
West Vanessa, FL 07913",3,0,39
EXC-9,CUST-46265,3,2026-03-06,"2344 Thomas Glens Apt. 858
Sawyerchester, SC 82916","17065 Glover Field Apt. 450
New Danielbury, AS 10894",3,0,41
EXC-10,CUST-17446,4,2026-03-16,"7754 Brenda Wells
Mclaughlintown, MI 92173","6516 Cunningham Squares
Heatherhaven, PR 26226",4,0,50
EXC-11,CUST-27894,4,2026-01-05,"PSC 0481, Box 3198
APO AA 22383","99352 Keith Path
East Jamie, FM 66463",3,0,57
EXC-12,CUST-13757,1,2026-02-17,"471 Regina Ranch
East Patricia, MO 31974","21517 Harmon Fork Suite 890
Ramirezside, GU 57587",3,0,25
EXC-13,CUST-24746,1,2026-02-16,"45963 Ryan Forest
Nathanton, OR 65538","USS Hardy
FPO AP 50634",2,1,34
EXC-14,CUST-48524,2,2026-02-06,"421 Hatfield Mount
West Jasminefurt, NC 62724","68434 Harry Road Apt. 314
Lake Coryfurt, CA 94384",3,0,40
EXC-15,CUST-5592,0,2026-01-22,"80377 Curry River Apt. 181
East Laura, ND 81618","USNS Cervantes
FPO AE 85567",2,0,13
EXC-16,CUST-48640,2,2026-02-05,"1688 Williams Wall
Port Mary, NM 94413","Unit 7055 Box 2487
DPO AA 42879",4,1,5
EXC-17,CUST-24739,2,2026-02-26,"1342 Samuel Island
Middletonside, PA 52305","1536 Harris Neck Suite 910
South Austin, WA 08184",4,0,39
EXC-18,CUST-2709,1,2026-02-18,"37828 Hicks Shores
North Dorothytown, NH 26124","PSC 3053, Box 6403
APO AA 21812",4,1,55
EXC-19,CUST-12569,3,2026-01-01,"778 Mitchell Court
Clarkmouth, NC 05444","8778 Brian Falls
Masonhaven, NM 93361",4,0,33
EXC-20,CUST-220,2,2026-01-19,"9238 Rodriguez Port
Scottview, KS 49697","12108 Jonathan Squares Apt. 328
Lake Carlostown, WV 57785",3,1,21
EXC-21,CUST-38651,4,2026-03-14,"USCGC James
FPO AA 81634","147 Bryant Circle
Lake Jennifer, VT 75694",3,0,41
EXC-22,CUST-37418,2,2026-02-28,"132 Tran Knoll
Susanstad, CT 10487","565 West Village Suite 197
West Daniel, OR 29830",1,0,37
EXC-23,CUST-24892,1,2026-03-22,"553 Victoria Crossroad Suite 030
Padillamouth, VA 84924","057 Janet Flats Apt. 931
New Felicia, DC 87930",5,1,45
EXC-24,CUST-36608,0,2026-01-31,"13614 Michael Islands
Lake Jacob, HI 01470","8052 Amber Fort
Ruizland, MS 20553",5,0,13
EXC-25,CUST-11790,0,2026-01-04,"72303 Karen Wall
Donnafort, OR 01091","3857 Kelly Ville Apt. 753
Rachelfurt, AZ 80028",5,1,29
EXC-26,CUST-44596,0,2026-02-08,"754 Grant Ways Apt. 073
Johnville, HI 95649","60101 Mitchell Spring Suite 333
Jonathanborough, SD 21458",1,0,17
EXC-27,CUST-729,1,2026-01-06,"70578 Sandoval Isle Suite 626
Lake Erin, NH 96117","314 Brady Stream Suite 754
New Tyler, AZ 15387",5,1,11
EXC-28,CUST-48606,4,2026-02-06,"7650 Christina Isle Apt. 770
South Angela, VT 69159","052 Heather Bypass
Loribury, ME 03750",5,0,26
EXC-29,CUST-46705,1,2026-02-13,"9742 Jessica Creek
Andersonside, NH 19135","27657 Joyce Groves Suite 753
Port Jennifer, GA 66052",2,1,59
EXC-30,CUST-19124,3,2026-03-07,"5056 Roy Square Suite 263
East Michellefort, MD 29380","07657 Brooks Spur Apt. 690
North Nancy, MO 23015",1,1,47
EXC-31,CUST-15290,3,2026-02-21,"7324 Erik Fort
East Amber, MO 54655","912 Tran Islands Apt. 938
Reedhaven, OR 76832",5,0,42
EXC-32,CUST-26881,3,2026-02-18,"663 Hess Ville
Port Scottborough, OK 51078","4892 Nicole Trafficway
Gibsontown, OH 11640",4,0,55
EXC-33,CUST-40459,2,2026-01-07,"511 Alyssa Extensions
Williamschester, OR 46796","54854 Harris Crossroad Suite 462
Courtneybury, VA 48654",2,0,21
EXC-34,CUST-5301,1,2026-03-26,"0025 Gina Throughway
Johnborough, KS 32603","13865 Kristy Green
West Mitchell, PR 82694",3,0,53
EXC-35,CUST-16388,3,2026-02-10,"86863 Beverly Station
Leefort, WV 41787","21333 Davis Valley Apt. 777
New Rickybury, WA 30826",1,1,22
EXC-36,CUST-45610,3,2026-01-27,"14106 Shah Motorway Apt. 567
Lake Shanefort, AR 14104","134 Ashley Keys Suite 742
Robertberg, VI 58628",4,0,23
EXC-37,CUST-6994,0,2026-03-06,"2495 Green Lake Suite 690
North Michael, WI 06813","Unit 5797 Box 8344
DPO AE 61896",1,0,3
EXC-38,CUST-30275,0,2026-03-09,"517 Bishop Plaza
West Taylorton, CO 02031","64569 Anthony Passage Suite 495
Josetown, CO 14143",2,0,48
EXC-39,CUST-36178,2,2026-03-21,"PSC 1861, Box 8302
APO AA 58327","427 Gardner Gateway Apt. 731
Mendozafurt, NC 39676",3,0,27
EXC-40,CUST-10645,3,2026-02-13,"08642 Campbell Streets
North Elizabethmouth, ME 03368","13362 Riley Crossing Suite 939
Sarahport, CO 48680",3,0,32
EXC-41,CUST-5323,3,2026-01-20,"22928 Brian Port Apt. 387
Briggsstad, RI 65562","7999 Nicole Summit
North Crystalview, NJ 59891",5,0,11
EXC-42,CUST-22136,3,2026-03-02,"USNS Mitchell
FPO AP 69817","573 Joshua Meadows Suite 262
West Christinaland, NJ 58787",4,0,30
EXC-43,CUST-43700,1,2026-03-11,"14036 Daisy Spring
Perezton, RI 40971","8031 Shirley Brook Apt. 042
West Paulborough, VT 93139",5,1,9
EXC-44,CUST-18405,4,2026-01-06,"66869 Hernandez Camp
Ericbury, GU 75088","4260 Jim Street
Comptonchester, GA 55888",4,0,30
EXC-45,CUST-15960,2,2026-03-18,"USNS Harrell
FPO AP 66033","464 Hensley Path
Port Stephanieton, ID 08922",4,0,26
EXC-46,CUST-45949,0,2026-01-11,"05883 Gardner Glen Apt. 333
Lunaborough, HI 67981","693 Angel Way Apt. 238
Kingfort, IN 57384",2,1,24
EXC-47,CUST-40804,0,2026-02-28,"3786 Joseph Turnpike Apt. 833
Susanport, NM 68380","9833 Tammy Islands Apt. 717
Johnsonstad, GA 11137",5,1,41
EXC-48,CUST-21810,0,2026-01-10,"0454 Faith Manors
Heatherbury, PA 14683","446 Carlos Dam Apt. 318
East Christopher, AR 12090",4,1,51
EXC-49,CUST-27318,3,2026-01-19,"274 Griffin Views Apt. 922
Nicolemouth, HI 13857","534 Barr Common Suite 887
West Benjamin, WY 41841",5,1,24
EXC-50,CUST-19813,0,2026-02-19,"4229 Nolan Island
Nguyenburgh, ME 09722","74610 Stewart View
North Marvinhaven, MI 35113",1,1,47
EXC-51,CUST-21630,3,2026-01-05,"73491 Hurst Shoals
Pattersonfurt, NV 39160","7649 Thomas Well
Johnsonfort, FM 12402",5,0,42
EXC-52,CUST-44820,4,2026-02-05,"2223 Jose Plaza Suite 153
Moyerhaven, CO 53867","66969 Thomas Circles Suite 453
Adamshire, FM 27549",2,0,37
EXC-53,CUST-239,4,2026-01-20,"04708 Richard Tunnel
Jasonfurt, TX 13991","7957 Victor Square
Port Kathleen, AS 13051",3,1,16
EXC-54,CUST-31143,4,2026-03-25,"2471 Medina Trail Suite 057
Lake Isaiahshire, NH 03213","0679 Esparza Canyon Suite 605
West Kathleen, VI 84646",3,0,27
